Group,CA4,SLC2A3
Control,72.99651878,2442.326917
Control,70.90444985,2646.994398
Control,94.10074832,3498.28381
Control,80.87961797,3096.53441
Control,61.99312122,2046.938028
Control,143.5367083,3327.83378
Control,35.71719706,2289.325996
Control,91.63973736,3410.630305
Control,383.8064062,8253.368902
Control,341.2761128,8832.934658
Control,476.5145052,8160.486822
Control,233.5253699,3211.94864
Control,435.4164712,7439.621599
Control,289.3221797,6112.112275
Control,399.8539206,6023.47592
Control,612.0077906,8654.260945
Control,303.8331759,5504.059572
Control,270.964758,4420.4452
Control,729.8353527,9619.442456
Control,446.5608264,4370.118355
Control,275.8221964,3048.810211
Control,434.395588,5300.208596
Control,313.4204389,5594.531696
Control,270.0823027,5887.842917
Control,224.2570142,4144.253191
Control,368.6056301,5005.334199
Control,658.9415409,9366.906072
Control,318.1845852,4774.723301
Control,406.8870647,7548.444225
Control,575.2762827,7493.823045
Condition,357.4682985,5887.842917
Condition,451.4295928,5989.479994
Condition,339.8267348,4517.272945
Condition,384.7749258,5018.075422
Condition,242.816802,4494.970863
Condition,208.1577884,4000.361201
Condition,322.9475607,4569.783947
Condition,206.1889502,4106.312903
Condition,283.4633897,5272.695814
Condition,159.7682389,3734.375845
Condition,417.5164346,6899.254622
Condition,215.5811341,4943.935981
Condition,177.772191,4116.182452
Condition,410.1783708,4248.637299
Condition,226.0944834,4559.67527
Condition,338.1577283,4895.365055
Condition,151.3500062,3512.336794
Condition,250.6081984,5428.766702
Condition,506.0906937,8352.450448
Condition,720.8862377,6946.047533
Condition,190.8596384,5018.075422
Condition,309.9516541,6969.138832
Condition,262.5455392,5626.118057
Condition,276.2751762,5563.158693
Condition,135.0548881,3830.594199
Condition,149.1343794,3410.630305
Condition,171.1639085,5043.47981
Condition,314.6049458,6245.513337
Condition,327.9208782,4379.562307
Condition,130.8205985,3606.024953
Condition,329.2853177,5956.050714
Condition,168.6908799,3923.197866
Condition,400.896334,5641.735966
Condition,157.2754262,4441.294673
Control,180.2963459,3742.180729
Control,189.822939,4328.232655
Control,199.3027685,4549.017694
Control,225.2042668,5189.57058
Control,369.280775,6717.731333
Control,145.2163075,5428.766702
Control,589.4341429,6808.036432
Control,257.7001115,6303.400238
Control,51.81735695,3176.519449
Control,175.4456937,6263.85676
Control,363.9552501,7109.965157
Control,99.10417096,4834.659898
Control,21.03111888,3359.897131
Control,89.90865655,4288.425033
Condition,236.8457238,6899.254622
Condition,478.0504442,14268.35302
Condition,234.7367278,5770.093173
Condition,135.8535914,6167.569598
Condition,52.49515604,3680.251664
Condition,244.6581989,7797.917197
Condition,304.4495807,10849.06011
Condition,436.6035374,10697.95817
Condition,553.4525902,8253.368902
Condition,93.8902134,6131.232079
Condition,164.3973904,6167.569598
Condition,241.9108873,5147.993248
Condition,175.3909361,4847.052735
Condition,144.3153314,5504.059572
Condition,454.1605295,7159.165256
Condition,367.1477288,10201.91486
Condition,345.5225281,4624.445752
Condition,255.1139692,5518.198046
Condition,492.2723795,7915.500613
Condition,808.1289652,8285.790023
Condition,242.6736361,5870.746965
Condition,148.8816714,6444.623133
Condition,257.2834705,5989.479994
Condition,761.9572195,11553.14379
Condition,161.644152,7628.846632
Condition,527.3035876,7654.742996
Condition,634.9711,5657.569403
Condition,145.050894,5272.695814
Condition,391.947571,10343.89575
Condition,281.2732815,9248.852916
Condition,224.4570635,10343.89575
Condition,90.13540975,6830.388875
Condition,121.6728502,6853.490175
Condition,407.0439378,10746.19867
Condition,84.89319513,3613.589929
Condition,242.9771468,8618.42373
Condition,212.3227012,8319.53322
Condition,421.091649,5956.050714
Condition,840.1466073,6041.435303
Condition,628.8667593,5626.118057
Condition,271.6746091,5870.746965
Condition,1043.908465,8761.336727
Condition,389.8811705,13768.598
Condition,155.2631533,6263.85676
Condition,38.56298071,3464.027351
Condition,343.8228607,8253.368902
Condition,177.2167104,6187.289482
Condition,252.734638,6527.508437
Condition,382.5296777,11944.29968
Condition,126.2966448,3774.008188
Condition,194.4662733,6992.457489
Condition,174.0888459,5610.13324
Condition,448.3288725,7943.583608
Condition,261.3958457,7654.742996
Condition,564.3031793,11886.33926
Condition,282.5498228,4079.135974
Condition,1096.018733,6547.818528
Condition,198.955366,4980.74015
Condition,988.6538314,7548.444225
Condition,610.5053237,5134.910879
Condition,249.8245979,3758.496373
Condition,328.3669688,5626.118057
Condition,493.6983934,7038.747988
Condition,1173.961879,6382.967939
Condition,153.9114746,3982.959757
Condition,983.4814862,16542.7676
Condition,179.8214229,5056.154516
Condition,136.6537159,3147.66389
Condition,76.46267787,4106.312903
Condition,105.1239228,2218.739569
Condition,1268.167585,12174.93832
Condition,283.7446955,4797.749196
Condition,226.3078407,4992.979548
Condition,284.8610336,4070.381804
Condition,326.5552381,7414.977184
Condition,611.708176,13909.42227
Condition,915.0947298,11770.99927
