Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
Condition,8.288230964,282.0990602,-4.583280711,1880.278695,4786.348352,246.3345615
Condition,-1.250081371,294.3321389,7.113240102,1517.665079,5547.63005,502.6141874
Condition,3.260015838,500.048392,-2.546616751,2932.508915,6969.138832,844.6266004
Condition,0.331256142,603.8267613,8.052615635,3253.542505,7711.205794,588.6002885
Condition,0.434392589,258.9305704,-5.841109036,2435.623334,6611.414538,283.926621
Condition,1.417307411,725.9212355,-4.776249543,4379.562307,7711.205794,1135.144086
Condition,-6.245418376,474.1645074,-4.216753706,3956.676265,6041.435303,503.7046777
Condition,0.690821015,198.7195621,-4.533973299,1871.984801,4943.935981,444.4324198
Condition,-3.849865482,305.8872892,-2.133430355,2741.89246,5147.993248,451.4295928
Condition,-4.307992589,198.6615273,-3.189757563,2149.922078,6167.569598,1091.315714
Condition,6.749004365,313.1016074,-8.743532183,1295.713841,6423.912644,621.9275908
Condition,9.683993909,239.2032481,-2.335994822,2691.389193,5370.807019,613.1950729
Condition,-1.984568426,421.7325265,-9.466587513,3491.494699,6487.066558,716.388507
Condition,6.486776853,415.7507966,5.60754467,3321.533276,7711.205794,6263.85676
Condition,2.410467817,443.906536,6.457620609,3032.882747,10396.39984,3247.523043
Condition,1.131504772,958.8706297,-2.67060264,5657.569403,7601.559031,1618.978272
Condition,6.401813401,183.5459578,-21.15650173,2643.16732,5328.035855,828.8748682
Condition,7.629268122,238.0162366,-3.493055431,4000.361201,8192.988395,1632.18367
Condition,0.19644665,424.8642199,-6.177218579,2883.393854,11168.7253,4462.213548
Condition,-1.313181624,212.3227012,-6.469527614,2527.736228,4441.294673,769.0675385
Condition,1.009849645,262.7118446,5.625630964,1421.786459,7493.823045,683.3601103
Condition,-3.9507,860.8464938,-8.438276244,4008.848787,14776.75385,3012.57289
Condition,-12.90123442,80.02252924,2.62709198,2844.980452,3931.861261,326.4414325
Condition,-5.245222944,472.2443804,-4.931141827,3404.197722,10154.83618,2236.066896
Condition,7.646863553,21.43230041,-1.87482731,717.8848842,7.20315401,9.85858132
Condition,4.097179898,525.8797575,-10.0981133,3766.425026,6382.967939,859.7972918
Condition,-3.310667005,1143.839148,-3.07927335,5870.746965,13034.79953,904.8835309
Condition,-6.790169036,1529.306257,4.369259036,14776.75385,16179.31064,1147.194264
Condition,-1.143746599,346.2667764,25.23239523,4580.992943,5786.197445,1755.492639
Condition,-5.565400914,132.5025444,-3.270109036,1536.581804,5081.717097,1828.891658
Condition,-8.113329746,341.8763866,7.413944772,5737.063269,4278.413767,560.4611514
Condition,6.654886193,489.9876492,1.873305279,4871.668624,14338.85106,3017.501802
Condition,-3.627926802,959.4842939,-5.725257868,5705.598159,11388.92272,1414.119129
Condition,-0.044226802,48.86010305,-4.009059594,2527.736228,2099.634945,436.4296645
Control,-4.120832893,260.8932068,-2.692593858,3695.630951,3417.475957,548.6961654
Control,9.992321015,317.1019585,3.218157259,1721.889741,4399.342827,677.1165024
Control,-1.840251878,142.6441138,7.714289949,1388.827702,4549.017694,597.5437774
Control,3.46983797,96.67253716,2.964516447,1333.633424,3688.067158,1183.958529
Control,0.307548325,152.5466067,7.779598477,2966.775553,5518.198046,964.4331183
Control,1.006733096,304.4495807,-1.979340203,2520.683094,4494.970863,786.876587
Control,-7.594151574,240.7724772,1.931143959,1588.538764,4034.555226,1063.122185
Control,0.448293807,309.0998327,-4.406424569,2534.972107,7683.061743,794.0324666
Control,5.453229949,249.0377599,-3.809252386,1101.540159,3872.048281,806.7561492
Control,-1.349247614,151.4345548,-5.39555132,2139.066442,4106.312903,1256.624561
Control,5.407986193,100.9502376,-1.008711523,1152.4406,4106.312903,1202.669452
Control,-3.096658579,209.6354832,-4.508019594,2163.494389,4980.74015,1017.068868
Control,-2.510545685,111.371287,10.1920403,1841.226227,3534.01864,276.4605502
Control,5.432387614,155.5329015,-3.689621117,2089.519604,9053.36811,2022.887927
Control,-5.229219898,154.57232,4.300338173,1809.077326,3334.329311,261.3102543
Control,-3.143029086,121.1303035,-4.815586396,2032.344767,3718.937414,456.0008314
Control,6.292672183,65.02741513,7.852113249,1857.370986,3147.66389,316.6666265
Control,4.899846904,204.0091177,-7.750878223,2046.938028,4528.393931,221.6985748
Control,1.848496853,317.1019585,-2.160803858,3423.865611,7414.977184,790.9248979
Control,-0.258604264,49.13210579,-3.634404264,822.6465349,4569.783947,892.1475659
Control,-1.61856264,912.8141176,0.874729442,11388.92272,8978.561925,2316.950026
Control,-5.064581117,218.1087437,-9.620210964,1324.534213,5175.389503,641.1873445
Control,-5.140333604,233.7961138,1.360855635,1289.314799,4968.63214,874.4510529
Condition,-1.66363533,599.8211023,-4.156998477,2054.332582,7943.583608,749.2046879
Condition,9.606638173,351.6192949,0.102850964,2037.125424,6674.520342,719.3880127
Condition,10.3428132,1348.327447,-9.395961624,2794.784684,6263.85676,2094.622104
Condition,10.99902467,754.0785191,-5.475863553,2987.243642,3621.274838,1185.834577
Condition,-1.864550863,387.3732518,-6.478496244,2115.137083,7284.336679,1486.239823
Condition,7.036281218,1403.958118,0.125804569,3703.420262,7683.061743,1453.464706
Condition,-2.566336751,75.10805695,-6.847438274,1510.400221,3027.919299,1029.592807
Condition,4.573925888,194.753344,-2.961758376,3672.930456,6527.508437,422.8690462
Condition,8.090341421,684.0619087,-10.20065391,2104.721153,5081.717097,1519.131431
Condition,5.110360711,346.0183499,13.55873056,4052.654539,5753.608036,755.7284489
Condition,4.939295431,798.5397058,2.622134822,3229.372533,9053.36811,901.0186648
Condition,16.97478406,758.2378327,-4.160632183,2650.912761,7493.823045,1476.440292
Condition,-0.801009036,596.4104149,-4.02089066,2729.094176,4338.328528,1585.367078
Condition,-7.277277766,451.056073,-9.760975939,1971.032778,4389.326711,1384.015958
Condition,8.493419797,663.8724087,-9.809276954,2006.042854,4992.979548,1187.694639
Condition,4.327065787,236.7779006,0.663736548,3278.187258,4483.683711,1791.594083
Condition,12.77873868,508.7269609,-0.841782132,1748.019279,2907.835505,2695.685279
Condition,11.14956,609.0479678,-13.75256914,2610.829517,5342.607519,1438.747891
Condition,10.39649848,464.2163863,-3.08418599,2790.461167,5175.389503,1344.236428
Condition,0.321559797,395.8036641,-5.592650558,4810.646782,5068.558595,620.1124843
Condition,0.40384,432.3302455,-8.695934822,1959.77668,5641.735966,1135.144086
Condition,-2.663130457,667.2004422,24.92394355,5705.598159,-17.16412274,1168.597437
Condition,-2.588945787,562.2414558,-15.33817127,2655.042844,6094.517553,674.0408363
