Group,ANGPT2,SLC2A3
Condition,0.266728731,5518.198046
Condition,-0.131621472,7493.823045
Condition,-6.584709848,13359.18958
Condition,6.359204162,12355.07237
Condition,-0.086487716,3012.57289
Condition,1.422419239,4298.747158
Condition,1.43754203,5989.479994
Condition,2.131731269,4786.348352
Condition,1.41522802,2854.475583
Condition,5.150553299,5921.687591
Condition,-2.825330761,2376.888667
Condition,1.240778782,2357.541355
Condition,-5.490933198,11770.99927
Condition,-5.577683046,5428.766702
Condition,1.508915431,13978.60455
Condition,2.701987817,3555.232085
Condition,5.725399492,5578.877093
Condition,3.624983299,11718.2586
Condition,-3.87549665,3672.930456
Condition,4.910030863,8722.53789
Condition,-7.282851878,10957.39813
Condition,3.083976548,3695.630951
Condition,2.099734924,5161.412479
Condition,3.581184873,3905.974297
Condition,-4.315866599,3838.465545
Control,-5.788189543,3948.417235
Control,2.582383249,5314.212403
Control,-2.691496904,5244.488352
Control,7.732761421,4810.646782
Control,2.661111066,4517.272945
Control,3.097006497,4079.135974
Control,-3.380007107,4462.213548
Control,0.038741726,2746.272328
Control,-1.043031675,4883.976468
Control,3.648021218,4026.139556
Control,-6.227345685,2729.094176
Control,5.456978376,4943.935981
Control,3.820886599,3404.197722
Control,-2.396793299,5175.389503
Control,3.40805736,5610.13324
Control,-1.500402335,4162.972122
Control,0.269709442,4505.99578
Control,-0.354180711,2432.233682
Control,-0.65783665,4670.227465
Control,8.608850863,3758.496373
Control,0.133511675,4834.659898
Control,2.384595838,3628.849155
Control,6.92576934,2502.778351
Control,5.407986193,4106.312903
Control,0.307548325,5518.198046
Control,0.448293807,7683.061743
Control,9.992874619,4399.342827
Control,4.899846904,4528.393931
Control,5.453229949,3872.048281
Control,1.006733096,4494.970863
Control,-0.258604264,4569.783947
Control,5.432387614,9053.36811
Control,-1.840251878,4549.017694
Control,-1.349247614,4106.312903
Control,-2.510545685,3534.01864
Control,-5.140333604,4968.63214
Control,-4.120832893,3417.475957
Control,-7.594151574,4034.555226
Control,-5.064581117,5175.389503
Control,3.470998376,3688.067158
Control,6.292672183,3147.66389
Control,-3.096658579,4980.74015
Control,1.848496853,7414.977184
Control,-3.143029086,3718.937414
Control,-5.229219898,3334.329311
Control,-0.895190558,3315.200109
Control,4.79804132,4549.017694
Control,4.46010264,2076.724479
Control,-4.990597259,2976.951549
Control,-1.80053066,4370.118355
Control,2.379788325,2247.615718
Control,2.274597056,2527.736228
Control,-1.606504467,2049.371116
Control,-9.939582538,2491.569124
Control,0.484272386,2776.756275
Control,1.352706701,3583.764946
Control,5.344603147,3583.764946
Control,-1.915823706,3477.961635
Control,-2.702730051,5921.687591
Control,0.470161218,3043.297109
Control,-1.979801218,3372.636582
Control,3.375866701,2695.685279
Control,8.218699086,4034.555226
Control,-0.024385381,3814.551927
Control,10.76244061,3650.608849
Control,4.821569949,3498.28381
Control,-0.666261624,3880.678325
Condition,-2.60525665,5938.835115
Condition,-1.085187107,3688.067158
